Attempt_no,Model,Distance,Time_to_Target,FPS,Occluded_Frames_Count,Outcome
1,OCSORT,1.5m,11.571829319000244,8.785701413084837,3,Success
3,OCSORT,1.5m,9.926498889923096,7.163819141734443,3,Success
2,OCSORT,1.5m,NA,9.088176850527995,15,Failure
4,OCSORT,1.5m,11.058996438980103,8.712754270548606,3,Success
5,OCSORT,1.5m,17.10123348236084,9.120900365958692,3,Success
6,OCSORT,1.5m,18.97547745704651,9.302852471534695,5,Success
7,OCSORT,1.5m,NA,7.600715690402877,15,Failure
8,OCSORT,1.5m,NA,9.143457924861409,15,Failure
9,OCSORT,1.5m,14.540786743164062,9.44325624222963,2,Success
10,OCSORT,1.5m,NA,6.979767342823277,15,Failure
1,OCSORT,2.5m,15.769840002059937,9.479706194868127,6,Success
2,OCSORT,2.5m,15.243676900863647,10.11459516461831,5,Success
3,OCSORT,2.5m,17.511384963989258,10.383061549735348,5,Success
4,OCSORT,2.5m,NA,9.735385238708195,15,Failure
5,OCSORT,2.5m,14.534973621368408,10.232362673208694,5,Success
6,OCSORT,2.5m,14.838679075241089,10.01787101614318,5,Success
7,OCSORT,2.5m,15.655978441238403,9.957401469598125,5,Success
8,OCSORT,2.5m,16.17929434776306,9.5001710330726,4,Success
9,OCSORT,2.5m,16.998552083969116,10.033143634009585,8,Success
10,OCSORT,2.5m,15.522199630737305,9.612130866876122,6,Success
1,OCSORT,3.5m,20.275479793548584,9.547053501602441,4,Success
2,OCSORT,3.5m,18.53054428100586,9.405900519985218,6,Success
3,OCSORT,3.5m,NA,9.683422172130427,15,Failure
4,OCSORT,3.5m,28.569074630737305,8.541285167836172,6,Success
5,OCSORT,3.5m,18.944092750549316,6.550523026971384,4,Success
6,OCSORT,3.5m,29.69177508354187,9.88386875327193,5,Success
7,OCSORT,3.5m,19.251126527786255,9.869354770700767,5,Success
8,OCSORT,3.5m,22.62639808654785,8.535099460337548,4,Success
9,OCSORT,3.5m,19.251572132110596,10.125320836470056,5,Success
